epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3053.89,2.24015,0.85186,0.99766,0.75775,0.7031,0.7532,0.44677,2.52429,0.93848,1.09615,0.000193256,0.000193256,0.000193256
62,3104.79,2.25961,0.84641,0.98966,0.79497,0.66437,0.76874,0.44731,2.52353,0.92368,1.08868,0.000188544,0.000188544,0.000188544
63,3154.63,2.2033,0.81632,0.98962,0.79502,0.65581,0.74392,0.44268,2.47608,0.92553,1.08211,0.000183831,0.000183831,0.000183831
64,3204.28,2.21263,0.83338,0.99301,0.70804,0.74095,0.76443,0.45007,2.4828,0.92699,1.08699,0.000179119,0.000179119,0.000179119
65,3254.59,2.18927,0.81717,0.99576,0.76351,0.68736,0.75286,0.45678,2.47963,0.90649,1.08672,0.000174406,0.000174406,0.000174406
66,3304.73,2.17947,0.80435,0.98436,0.73532,0.70755,0.76095,0.45503,2.48453,0.91741,1.08706,0.000169694,0.000169694,0.000169694
67,3354.34,2.19692,0.81394,0.98661,0.76167,0.66687,0.7418,0.44433,2.50529,0.93546,1.09393,0.000164982,0.000164982,0.000164982
68,3404.73,2.15371,0.79509,0.98193,0.77558,0.71235,0.76407,0.45491,2.49033,0.90767,1.08515,0.000160269,0.000160269,0.000160269
69,3454.58,2.15621,0.80421,0.97993,0.79281,0.66283,0.74003,0.44399,2.47795,0.9158,1.08342,0.000155557,0.000155557,0.000155557
70,3505.18,2.16437,0.80136,0.9841,0.73118,0.66448,0.74048,0.44117,2.50005,0.93649,1.08841,0.000150844,0.000150844,0.000150844
71,3555.84,2.14214,0.80496,0.98482,0.78311,0.66742,0.74581,0.43886,2.47359,0.90328,1.08377,0.000146132,0.000146132,0.000146132
72,3605.98,2.14627,0.79849,0.97591,0.77465,0.67568,0.72856,0.42772,2.49043,0.91416,1.08583,0.00014142,0.00014142,0.00014142
73,3656.11,2.1217,0.78091,0.97409,0.75372,0.6823,0.74663,0.43848,2.49408,0.91113,1.08381,0.000136707,0.000136707,0.000136707
74,3706.89,2.13942,0.79551,0.98113,0.78699,0.68592,0.75135,0.44466,2.50526,0.9285,1.09145,0.000131995,0.000131995,0.000131995
75,3757.74,2.11701,0.77923,0.9764,0.8101,0.67219,0.75653,0.44852,2.4824,0.89558,1.08529,0.000127282,0.000127282,0.000127282
76,3807.62,2.09368,0.77308,0.97521,0.7843,0.68392,0.76046,0.45008,2.49721,0.89984,1.08766,0.00012257,0.00012257,0.00012257
77,3857.47,2.09182,0.77632,0.9749,0.83582,0.66169,0.74835,0.44225,2.5018,0.90853,1.08805,0.000117858,0.000117858,0.000117858
